Time,2020-01-01T11:20
Total clients,0
NO DATA
Time,2020-01-01T11:21
Total clients,1469
88,0.0
89,0.014976174268209666
110,0.008168822328114363
111,0.0034036759700476512
112,6.807351940095302E-4
113,0.002722940776038121
114,0.014976174268209666
115,0.010211027910142955
116,0.008168822328114363
90,0.0040844111640571815
117,0.011572498298162015
91,0.0068073519400953025
118,0.0020422055820285907
92,0.007488087134104833
119,0.0013614703880190605
93,0.002722940776038121
94,0.014976174268209666
95,6.807351940095302E-4
96,0.0040844111640571815
97,0.0
10,0.006126616746085773
98,0.0
11,0.006126616746085773
99,0.005445881552076242
13,0.0013614703880190605
14,0.007488087134104833
15,0.0034036759700476512
16,0.008168822328114363
17,0.0020422055820285907
18,0.011572498298162015
19,0.008168822328114363
120,0.0
0,0.006126616746085773
121,0.013614703880190605
1,0.010211027910142955
122,0.0020422055820285907
2,0.0020422055820285907
123,0.009530292716133424
3,6.807351940095302E-4
124,0.0040844111640571815
4,0.010211027910142955
125,0.004765146358066712
5,0.0020422055820285907
126,0.0068073519400953025
6,0.011572498298162015
127,0.010211027910142955
7,0.0
128,0.010891763104152484
8,0.008168822328114363
129,0.0
9,0.0040844111640571815
20,0.002722940776038121
21,0.011572498298162015
22,0.0
23,0.007488087134104833
24,0.0040844111640571815
25,0.0040844111640571815
26,0.014295439074200136
27,0.01701837985023826
28,0.012253233492171545
29,0.0034036759700476512
131,0.018379850238257316
132,0.0
133,0.0034036759700476512
134,0.01701837985023826
135,0.011572498298162015
136,6.807351940095302E-4
137,0.0068073519400953025
138,6.807351940095302E-4
139,0.0
30,0.0034036759700476512
31,0.0020422055820285907
32,6.807351940095302E-4
33,0.004765146358066712
34,0.007488087134104833
35,0.006126616746085773
36,0.0034036759700476512
37,0.005445881552076242
38,0.010211027910142955
39,0.0020422055820285907
140,0.0013614703880190605
141,0.010891763104152484
142,0.0
143,0.0068073519400953025
144,0.008168822328114363
145,0.0020422055820285907
146,0.0068073519400953025
147,0.0034036759700476512
148,0.0
149,0.0
40,0.010891763104152484
41,0.0034036759700476512
42,0.02518720217835262
43,0.002722940776038121
44,0.007488087134104833
45,0.010891763104152484
46,0.004765146358066712
47,0.0034036759700476512
48,0.0013614703880190605
49,0.011572498298162015
150,0.012253233492171545
151,0.014295439074200136
152,0.0
153,0.0
154,0.002722940776038121
155,0.010891763104152484
156,0.0034036759700476512
50,0.012253233492171545
51,0.007488087134104833
52,0.004765146358066712
53,6.807351940095302E-4
54,0.014295439074200136
55,0.0040844111640571815
56,0.002722940776038121
57,0.0013614703880190605
58,0.0020422055820285907
59,0.02314499659632403
60,0.019741320626276378
61,0.009530292716133424
62,0.010211027910142955
63,0.0
64,0.0
65,0.011572498298162015
66,0.0
67,0.0
68,0.007488087134104833
69,0.010891763104152484
70,0.0068073519400953025
71,0.012933968686181076
72,0.002722940776038121
73,0.0034036759700476512
74,0.0020422055820285907
75,0.010211027910142955
76,0.021783526208304968
77,0.0
78,0.0
79,0.008168822328114363
100,0.0
101,0.0068073519400953025
102,0.011572498298162015
103,0.0
104,0.0040844111640571815
105,0.0034036759700476512
106,0.009530292716133424
80,0.0068073519400953025
107,0.0040844111640571815
81,0.0
108,6.807351940095302E-4
82,0.0224642614023145
109,0.021783526208304968
83,0.010211027910142955
84,0.010891763104152484
85,0.0020422055820285907
86,0.019741320626276378
87,0.013614703880190605
